Authors,Title,Year,ISBN,Publisher,Address,URL,DOI,Abstract,Document Type,afiliacion_primer_autor,journal
"Grover, Shuchi and Fisler, Kathryn and Lee, Irene and Yadav, Aman",Integrating Computing and Computational Thinking into K-12 STEM Learning,2020,9781450367936.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3328778.3366970,10.1145/3328778.3366970,"Policymakers believe that preparing all students from the earliest grades to high school for a new future of STEM+Computing (STEM+C) integration involves teaching them not only the science and math central to these areas, but also how computational thinking is integral to STEM disciplines. This panel brings together four researchers who focus on research and development of interdisciplinary approaches to the integration of computing within STEM teaching and learning for preK-12 students. They will share the most impactful, practical, and promising approaches to STEM+C integration, their pros and cons, challenges, and key insights to successful STEM+C integration at all grade levels.",Short Communication,University of Sydney,Science Advances
"Iversen, Ole Sejer and Smith, Rachel Charlotte and Dindler, Christian",From computational thinking to computational empowerment: a 21st century PD agenda,2018,9781450363716.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3210586.3210592,10.1145/3210586.3210592,"We propose computational empowerment as an approach and a Participatory Design response to challenges related to digitalization of society and the emerging need for digital literacy in K12 education. Our approach extends the current focus on computational thinking to include contextual, human-centred and societal challenges and impacts involved in students' creative and critical engagement with digital technology. Our research is based on the FabLab@School project, in which a PD approach to computational empowerment provided opportunities as well as further challenges for the complex agenda of digital technology in education. We argue that PD has the potential to drive a computational empowerment agenda in education by connecting political PD with contemporary visions for addressing a future digitalized labour market and society.",Technical Report,Yale University,Nature Communications
"Fuste, Anna and Schmandt, Chris",HyperCubes: A Playful Introduction to Computational Thinking in Augmented Reality,2019,9781450368711.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3341215.3356264,10.1145/3341215.3356264,"We present HyperCubes, an Augmented Reality (AR) platform to foster computational literacy. Using paper cubes as AR markers and spatial tracking, the user becomes familiar with sequences of instructions as coding blocks. We leverage spatial cognition as a means to improve understanding of procedural and sequential models. We have performed two pilot studies for an iterative and user centered design of the platform. With a final qualitative user study we address engagement levels and the educational potential of the platform. We argue that by using spatial cognition and the flexibility of the AR medium, a playful introduction to basic computational thinking concepts can be presented in late elementary school and middle school children.",Research Article,California Institute of Technology,PLOS ONE
"Li, Xing and Zhang, Yi and Huang, Jing",Testing a design-based learning approach to enhance elementary students’ computational thinking with experience-sampling method,2022,9781450384094.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3488838.3488842,10.1145/3488838.3488842,"Computational Thinking (CT) is regarded as a key competency for k-12 children in the 21st century. In this project, a design-based learning (DBL) approach was proposed to improve elementary school students’ CT. This approach included programming skills learning and STEM practices with authentic real-life contexts. We assessed CT in a more accurate manner with experience-sampling methodology (ESM). A quasi-experiment study was carried out to assess how the intervention was associated with students’ self-perceived CT skills using event-based experience-sampling methodology. Forty sixth graders engaged in the curriculum units to create artifacts that solve specific real-world problems using Arduino electronic kits and Mind+ programming software. Results revealed that students’ self-perceived CT skills increased to a greater extent statistically. Using the experience sampling method, students’ self-perceived CT skills has different fluctuations in different stages of DBL, at the third phase of designing artifact, there is a significant decrease because learners are unfamiliar at the beginning of complicated cooperation in depth, which is likely to produce discourse conflicts and reduce efficiency. With the intervention of teachers, learners begin to improve greatly in the later stage. Learners have the highest CT in the iteration and improvement phases of prototype making and the final demonstration stage. In addition, collaboration plays an extremely important role in DBL, especially in the design phase. This study contributes to research in DBL teaching approach, CT instruction, its application in STEM education in particular, and how it can be used in elementary level education in general.",Short Communication,University of Cambridge,Computers & Education
"Liu, Ruohan and Luo, Feiya and Israel, Maya",What Do We Know about Assessing Computational Thinking? A New Methodological Perspective from the Literature,2021,9781450382144.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3430665.3456380,10.1145/3430665.3456380,"Developing computational thinking (CT) assessment methods appropriate for elementary students is attracting growing attention as CT research in elementary education progresses. To review the current elementary CT assessments for potential gaps, and seek additional methodologies to expand our understanding of CT, an integrative literature review of 75 research papers was performed in two phases. In Phase One, we conducted a critical analysis of existing elementary CT assessment studies. Key results include: 1) Artifact analysis, CT assessment items, and interviews are the most common methods utilized to assess CT in elementary grades; 2) Existing CT assessments primarily focus on students' computational artifacts and performance on CT tests; however, strategies to study students' thought processes during CT problem-solving are limited and under-utilized. Guided by the results of phase one, along with the theoretical perspective that connected CT to visual processing ability, in phase two we performed a survey of literature in the area of understanding cognitive processes through eye-tracking (i.e., visual attention) and think-aloud methodologies (i.e., verbalization). We focused on eye-tracking and think-aloud methodologies as these have been used to understand students' cognitive processes during problem-solving in other areas. Based on these findings, we proposed that in addition to current established methodologies, eye-tracking with the think-aloud technique can provide new insights into students' CT.",Case Study,ETH Zurich,PLOS ONE
"Smith, Rebecca and Rixner, Scott",Design and Evaluation of a Collaborative Online Computational Thinking Course,2020,9781450368742.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3341525.3387388,10.1145/3341525.3387388,"For online courses to be an effective alternative to face-to-face courses, they must provide equivalent levels of interaction, engagement, supervision, and support. This paper analyzes and compares the experiences of students in face-to-face and online sections of the same introductory course taught by the same instructor. The course heavily utilizes team-based active learning, and effort was put into maintaining comparable group experiences in the online section. An analysis of student opinions and objective outcomes revealed only minor differences between the two sections. Notably, there were no statistically significant variations in students' overall grades, self reported confidence, or course evaluation ratings, indicating that high quality student experiences and outcomes can be achieved when migrating active learning to an online format.",Short Communication,Imperial College London,IEEE Transactions on Software Engineering
"Arslanyilmaz, Abdurrahman and Corpier, Kendra",Eye Tracking to Evaluate Comprehension of Computational Thinking,2019,9781450368957.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3304221.3325555,10.1145/3304221.3325555,"concepts (CTCs), specifically in block-based programming environments like Scratch, has been challenging, and assessment instruments developed and presented in prior studies either do not provide a complete picture about students' cognitive processes or they are not easy-to-administer, subjective, or requires lengthy analysis of qualitative data. Eye-tracking has become one of the most popular methods to study what individuals view, in what order, for how long, and how often, and it is a technology that could give us a window into students' cognitive processes and could be used as an assessment tool for comprehension of CTCs [1].This study presents eye-tracking technology as an objective, non-intrusive, and easy-to-administer assessment instrument to measure students' comprehension of core CTCs including sequences, loops, events, parallelism, conditionals, operators, data, motion, looks, sound, pen, and sensing. It explores gradual changes in students' comprehension of CTCs as reflected on three eye-gaze data as a proxy; FD (Fixation Duration), SA (Saccade Amplitudes), and RF (Regression Frequency).",Editorial,National University of Singapore,Science Advances
"de Oliveira, Gabriela A. Araujo and Assun\c{c}\~{a}o, Oto Braz and Prates, Raquel Oliveira",Using cultural viewpoint metaphors in the analysis of computational thinking teaching,2019,9781450369718.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3357155.3358466,10.1145/3357155.3358466,"There are several experience reports on teaching computational thinking (CT) to children in a playful way. However, we did not find in the literature any studies presenting a well defined proposal of types of tools or methods that could be adopted to teach different concepts of computational thinking. Therefore, we investigate whether Cultural Viewpoint Metaphors (CVM) could be a good way to analyze, classify, and indicate which CT tools and teaching approaches existing studies are addressing. We first analyze existing research on teaching computational thinking to middle school students in Brazil. Then, the tools and methods used in those works in light of CVM. Our findings show positive results regarding the possibility of using CVM as a foundation to classify tools and methods for teaching CT.",Research Article,University of Hong Kong,Nature Communications
"Lall\'{e}, S\'{e}bastien and Yal\c{c}\i{}n, \""{O}zge Nilay and Conati, Cristina",Combining Data-Driven Models and Expert Knowledge for Personalized Support to Foster Computational Thinking Skills,2021,9781450389358.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3448139.3448175,10.1145/3448139.3448175,"Game-Design (GD) environments show promise in fostering Computational Thinking (CT) skills at a young age. However, such environments can be challenging to some students due to their highly open-ended nature. We propose to alleviate this difficulty by learning interpretable student models from data that can drive personalization of a real-world GD learning environment to the student’s needs. We apply our approach on a dataset collected in ecological settings and evaluate the ability of the generated student models at predicting ineffective learning behaviors over the course of the interaction. We then discuss how these behaviors can be used to define personalized support in GD learning activities, by conducting extensive interviews with experienced instructors.",Editorial,Stanford University,Nature Communications
"Semiawan, Transmissia",User interface design analysis pertaining to computational thinking framework,2019,9781450361040.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3323716.3323741,10.1145/3323716.3323741,"Computational Thinking (CT) has been considered as a problem solving approach that involving fundamental thinking processes which include decomposition, pattern recognition, abstraction, and algorithms. To see that CT would be of useful to solve complex problems of user interface design (UID), this study aims to see the extent the CT framework would have an effect on the achievement of designs thinking process. The study was carried out based on the evaluation of user interface design projects accomplished by undergraduate students involving 3 cohorts composed of 21 groups in total. The results indicate that disregarding CT process in design thinking leads to inefficiency interface design.",Editorial,MIT,Computers & Education
"Jimenez, Yerika and Hays, Theodore and Gardner-McCune, Christina",Computational Thinking App Design Mat: Supporting the Development of Students' Computational Thinking Skills (Abstract Only),2017,9781450346986.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3017680.3022412,10.1145/3017680.3022412,"Tools like MIT App Inventor and Scratch are designed to help students develop programming and computational thinking skills by allowing them to use their interest and personal experiences to create meaningful artifacts. However, students often need additional help in translating their ideas into functional programs because they lack understanding of how to map the visual aspects of their projects to programming constructs and understanding of how to develop appropriate algorithms that bring their ideas to life. To address this issue, we created a Computational Thinking App Design Mat (App Design Mat) to scaffolds students' CT skill development in the context of creating a mobile application with MIT APP Inventor 2. The App Design Mat fosters student engagement in computational thinking through four areas of the mat: Problem Decomposition, Pattern Abstraction, Pattern Recognition, and Algorithm Design. In this poster will describe the design and results from the use of the App Design Mat with 80 eighth grade students. Our results suggest that most students understood the purpose of using the App Design Mat, used the App Design Mat effectively, and used some aspects of the App Design Mat in developing their final mobile app project.",Conference Proceedings,University of Oxford,PLOS ONE
"Ryu, Miyoung and Han, SeonKwan",Computational Thinking Test Tool to Measure Cognitive Ability of K-12 Students,2020,9781450367936.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3328778.3372594,10.1145/3328778.3372594,This study reports the design and development of the Computational Thinking(CT) Test Tool to measure Cognitive Ability of K-12 students. The newly developed CT test tool was validated with experts and K-12 students. We expect that the CT test tool will be used as a basic data to identify the current situation of computing education.,Review Paper,University of Melbourne,Nature Communications
"Catet\'{e}, Veronica and Lytle, Nicholas and Dong, Yihuan and Boulden, Danielle and Akram, Bita and Houchins, Jennifer and Barnes, Tiffany and Wiebe, Eric and Lester, James and Mott, Bradford and Boyer, Kristy",Infusing computational thinking into middle grade science classrooms: lessons learned,2018,9781450365888.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3265757.3265778,10.1145/3265757.3265778,"There is a growing need to present all students with an opportunity to learn computer science and computational thinking (CT) skills during their primary and secondary education. Traditionally, these opportunities are available outside of the core curriculum as stand-alone courses often taken by those with preparatory privilege. Researchers have identified the need to integrate CT into core classes to provide equitable access to these critical skills. We have worked in a research-practice partnership with two magnet middle schools focused on digital sciences to develop and implement computational thinking into life sciences classes. In this report, we present initial lessons learned while conducting our design-based implementation research on integrating computational thinking into middle school science classes. These case studies suggest that several factors including teacher engagement, teacher attitudes, student prior experience with CS/CT, and curriculum design can all impact student engagement in integrated science-CT lessons.",Conference Proceedings,University of Cambridge,Nature Communications
"Sabitzer, Barbara and Demarle-Meusel, Heike",A congress for children and computational thinking for everyone,2018,9781450365888.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3265757.3265782,10.1145/3265757.3265782,"As final event of the project ""Informatics - A Child's Play?!"", which aimed at introducing computational thinking in primary and secondary schools, the authors initiated the first Children's Congress in 2016 with the main theme of ""Languages - Pictures - Information"". This is now an annual event, where all participating children can slip into the role of researchers and present the results of their projects accomplished together with their teachers as well as teacher students of different master courses. As preparation the project teams get an introduction into computational thinking and several computer science concepts with the task of applying at least one of them in their project and the development of creative products. The themes of the Children's Congress are relatively open and fit into every subject, because our main aim is introducing computational thinking ""by the way"" to all participants. During their work on cross-curricular or even subject specific projects, pupils, students and teachers learn that basics of computational thinking are or can be integrated in every subject. This paper reports on the implementation and procedure of the Children's Congress and gives an overview of the projects accomplished in the first two years (2016 and 2017). It describes how and where computational thinking has been integrated and presents the main results of the evaluation gained from interviews and questionnaires.",Technical Report,California Institute of Technology,PLOS ONE
"Fronza, Ilenia and Corral, Luis and Pahl, Claus",Combining Block-Based Programming and Hardware Prototyping to Foster Computational Thinking,2019,9781450369213.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3349266.3351410,10.1145/3349266.3351410,"The promotion of Computational Thinking principles at different levels of education enables the development of practical competencies for software development. Several off-the-shelf technologies exist to promote computational abilities with the support of block-based programming and working hardware. However, in some contexts, a significant limitation is the complexity and costs that carry the acquisition and implementation of working hardware such as Educational Robots. In this paper, we discuss a strategy to reinforce the learning of Computational Thinking (CT) skills by providing an analogous method to Educational Robots. We offer an affordable solution to assist high school students to build a CT-based software/hardware integrated solution. We executed this strategy in a coding bootcamp where students were required to design and implement an algorithm, and illustrate its execution in software and hardware. The proposed exercise delivered the expected results engaging students to ideate the solution of a problem, implement an algorithm, and create a physical demonstration of it.",Research Article,Yale University,IEEE Transactions on Software Engineering
"Zhang, LeChen and Nouri, Jalal and Rolandsson, Lennart",Progression Of Computational Thinking Skills In Swedish Compulsory Schools With Block-based Programming,2020,9781450376860.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3373165.3373173,10.1145/3373165.3373173,"Although Computational Thinking and Programming have become obligatory in many national curricula, the majority of teachers in practice are currently in dire need of support from both the research and teaching community. A national research and teacher development project was initiated in Sweden to address this issue. To develop their pedagogical competence in these new subjects, 31 in-service teachers from the project performed lesson studies at their schools. This study collected and analyzed the documentation of 12 lesson studies regarding how computational thinking skills are taught and assessed in K--9, with block-based programming. The study applies a validated CT framework to identify the involved computational thinking skills. The result presents a progression stage scheme for these skills in compulsory schools. The paper also discusses the problems and challenges in the assessment of computational thinking skills.",Technical Report,University of Hong Kong,ACM Transactions on Graphics
"Fuhrmann, Tamar and Ahmed, Deeana Ijaz and Arikson, Len and Wirth, Mike and Miller, Mark L and Li, Ethan and Lam, Amy and Blikstein, Paulo and Riedel-Kruse, Ingmar","Scientific Inquiry in Middle Schools by combining Computational Thinking, Wet Lab Experiments, and Liquid Handling Robots",2021,9781450384520.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3459990.3465180,10.1145/3459990.3465180,"Computational thinking (CT) is necessary for Science, Technology, Engineering, and Mathematics (STEM) literacy, but it can be difficult for many students to develop and it is challenging to integrate into science curricula. Here, we present a five-session curriculum where sixth-grade students programmed a Liquid Handling Robot (LHR) to conduct a science experiment while engaging in CT. We used a mixed-methods approach to assess how the curricular integration of robotics and science experimentation advances students’ CT skills and perceptions of computation in science. We identified growth in CT skills, specifically regarding Algorithmic Thinking. Students identified as key advantages of this approach the increased precision in experimental procedures, time-efficiency, and easier debugging. This course provides a proof of concept curriculum on how the implications for teaching and learning of CT can be assessed, and how CT and robotics can be brought to science classrooms, especially for chemistry and biology.",Technical Report,MIT,Science Advances
"Troiano, Giovanni Maria and Chen, Qinyu and Alba, \'{A}ngela Vargas and Robles, Gregorio and Smith, Gillian and Cassidy, Michael and Tucker-Raymond, Eli and Puttick, Gillian and Harteveld, Casper",Exploring How Game Genre in Student-Designed Games Influences Computational Thinking Development,2020,9781450367080.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3313831.3376755,10.1145/3313831.3376755,"Game design is increasingly used in modern education to foster Computational Thinking (CT). Yet, it is unclear how and if the game genre of student-designed games impact CT and programming. We explore how game genre impacts CT development and programming routines in Scratch games designed by 8th-grade students using a metrics-based approach (i.e., Dr. Scratch). Our findings show that designing particular games (e.g., action, storytelling) impact CT and programming development. We observe, for instance, that CT skills develop and consolidate fast, after which students can focus on aspects more specific to game design. Based on the results, we suggest that researchers and educators in constructionist learning consider the impact of game genre when designing game-based curricula for the learning of programming and CT.",Editorial,University of Tokyo,PLOS ONE
"Simmonds, Jocelyn and Gutierrez, Francisco J. and Meza, Federico and Torrent, Catalina and Villalobos, Jaime","Changing Teacher Perceptions about Computational Thinking in Grades 1-6, through a National Training Program",2021,9781450380621.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3408877.3432542,10.1145/3408877.3432542,"Chile is a medium-sized developing country, with approximately 3,500,000 school-aged children. Computational thinking (CT) has been recognized as a tool for developing XXI century skills, but Chile has a large population of in-service teachers that do not know what CT is, limiting its application in classrooms. In response, the government has enacted a training program for in-service primary school teachers, focusing on changing their perceptions about CT, and showing them how it can be used in classroom. This training program was designed for grades 1-6 and piloted in the capital region during 2018. The program initially focused on coding activities, but was then redesigned to show how CT can be used to help meet the learning objectives of different subjects in the curriculum. The program was then scaled up nationwide. In this experience report, we discuss the outcomes of this program. The training program scaled as intended and we identified positive changes in teacher perceptions about CT, especially among female participants. We conclude with the lessons we learned from this experience.",Editorial,ETH Zurich,Science Advances
"Li, Xin-Zhu and Chen, Chun-Ching and Kang, Xin",Design of Social Story Teaching Aid for Autistic Children Based on Computational Thinking and Its Case Study,2021,9781450389693.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3468691.3468712,10.1145/3468691.3468712,"Computational thinking is an emerging teaching strategy as well as an ability necessary for all people in the future. In this study, social stories are used to teach autistic children social skills. Combining sequential computational thinking as a learning strategy and applying Conductive Copper Foil Tape and Makey Makey, a social story teaching aid is made. With the help of it, children can learn the content from social stories, learn social stories through computational thinking and arrange corresponding sequence structure. Three autistic children from Grade 1 took part in six teaching experiments and were observed their change of social skills. The results showed that scientific teaching aid could improve autistic children's social ability, speaking skills, attention, and learning interests, making them observe the storytelling more carefully and easily, understand the story development, and learn social skills from it. Besides, this teaching aid could improve autistic children's social reciprocity and provide theoretical references for relevant fields.",Research Article,MIT,IEEE Transactions on Software Engineering
"Simmonds, Jocelyn and Gutierrez, Francisco J. and Meza, Federico and Torrent, Catalina and Villalobos, Jaime","Changing Teacher Perceptions about Computational Thinking in Grades 1-6, through a National Training Program",2021,9781450380621.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3408877.3432542,10.1145/3408877.3432542,"Chile is a medium-sized developing country, with approximately 3,500,000 school-aged children. Computational thinking (CT) has been recognized as a tool for developing XXI century skills, but Chile has a large population of in-service teachers that do not know what CT is, limiting its application in classrooms. In response, the government has enacted a training program for in-service primary school teachers, focusing on changing their perceptions about CT, and showing them how it can be used in classroom. This training program was designed for grades 1-6 and piloted in the capital region during 2018. The program initially focused on coding activities, but was then redesigned to show how CT can be used to help meet the learning objectives of different subjects in the curriculum. The program was then scaled up nationwide. In this experience report, we discuss the outcomes of this program. The training program scaled as intended and we identified positive changes in teacher perceptions about CT, especially among female participants. We conclude with the lessons we learned from this experience.",Editorial,ETH Zurich,Journal of Machine Learning Research
CACM Staff,Rethinking computational thinking,2016,,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2949401,10.1145/2949401,,Short Communication,National University of Singapore,Computers & Education
"Ya\c{s}ar, Osman",A new perspective on computational thinking,2018,,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3214354,10.1145/3214354,"Addressing its cognitive essence, universal value, and curricular practices.",Review Paper,Tsinghua University,ACM Transactions on Graphics
"Scheppegrell, Lindsey and Hiatt, Elyse and Okerlund, Johanna and Wilson, David",Computational Thinking in the Making: Lessons for Second Graders in a STEM Computer Science Immersion School,2019,9781450358903.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3287324.3293833,10.1145/3287324.3293833,"Recently, there has been significant interest in integrating Maker-related experiences into formal education. A challenge is reconciling open-ended making and non-deterministic learning goals with standards that drive traditional education. In the context of our CS-focused STEM magnet school, we designed two 2nd grade lessons that not only align with grade-level standards and our school's computer science-oriented pedagogy, but also incorporate 3D printing and the philosophy of Makerspaces. The integrated Maker experience serves to scaffold computational thinking practices such as abstraction, modeling, and decomposition, which are essential for long-term success in STEM learning. To bring these aspects together, we created a rubric based on existing evaluation tools. Using this rubric, we evaluated the two lessons with a small sample of participants. Our pilot study shows promise of mastery in standard-related content, evidence of a making mindset, engagement in the activity, innovation in design, and solidarity in working with peers. Aligning state standards with open-ended Maker activities has potential for fostering student growth and engagement in the classroom. An additional component of our research was reflecting on our experience as teachers with no Makerspace experience who were newly submerged in the digital fabrication world. We present the two 3D printing-based lessons, one addressing extreme weather standards, the other incorporating understanding of urban, suburban, and rural communities. We also present the rubric we designed, the literature that guided this work, and reflections and recommendations from our experience of learning digital fabrication for the first time and integrating it into curriculum.",Conference Proceedings,Princeton University,IEEE Transactions on Software Engineering
"Heintz, Fredrik and Mannila, Linda",Computational thinking for all: an experience report on scaling up teaching computational thinking to all students in a major city in Sweden,2018,,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3210553,10.1145/3210553,The Swedish government has recently introduced digital competence including programming in the Swedish K-9 curriculum starting no later than fall 2018. This means that 100 000 teachers need to learn programming and digital competence in less than a year. In this paper we report on our experience working with professional teacher training in Sweden's fifth largest city. The city has about 150 000 inhabitants and about 50 schools with about 14 000 students in primary education. The project has been carried out in close cooperation with the municipality.,Technical Report,Stanford University,Nature Communications
"Hoskey, Arthur and Zhang, Sen",Computational thinking: what does it really mean for the K-16 computer science education community,2017,,Consortium for Computing Sciences in Colleges,"Evansville, IN, USA",,,"It is commonly agreed that being able to think computationally will make it easier for students to master computing disciplines as well as apply these thinking skills to subjects beyond computing. In this work, we attempt to bridge the gap between the overarching high-level ideas initially proposed by Jeanette Wing and K-16 computer science education. We propose a first step towards refining, summarizing and concretizing what computational thinking is within the K-16 computer science education scope. Our focus is on identifying and defining aspects (subtopics) of computational thinking that directly relate to computer science in terms of K-16 teaching and learning of computer science.",Case Study,University of Melbourne,Computers & Education
"Rom\'{a}n-Gonz\'{a}lez, Marcos and P\'{e}rez-Gonz\'{a}lez, Juan-Carlos and Moreno-Le\'{o}n, Jes\'{u}s and Robles, Gregorio",Does computational thinking correlate with personality? the non-cognitive side of computational thinking,2016,9781450347471.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3012430.3012496,10.1145/3012430.3012496,"Computational thinking (CT) is being considered as a key set of problem-solving skills to be acquired by the new generations of digital citizens and workers in order to thrive in a computer-based world. However, from a psychometric point of view, CT is still a poorly defined psychological construct: there is no full consensus on a formal definition of CT or how to measure it; and its correlations with other psychological constructs, whether cognitive or non-cognitive, have not been completely established. In response to the latter, this paper aims to study specifically the correlations between CT and the several dimensions from the 'Big Five' model of human personality: Conscientiousness, Openness to Experience, Extraversion, Agreeableness, and Neuroticism. To do so, the Computational Thinking Test (CTt) and the Big Five Questionnaire-Children version (BFQ-C) are administered on a sample (n = 99) of Spanish students from 5th to 10th grade. Results show statistically significant correlations between CT and: Openness to Experience (r = 0.41), Extraversion (r = 0.30), and Conscientiousness (r = 0.27). These results are partially consistent with the literature about the links between cognitive and personality variables, and corroborate the existence of a non-cognitive side of CT. Hence, educational interventions aimed at fostering CT should take into account these non-cognitive issues in order to be comprehensive and successful.",Technical Report,Peking University,Nature Communications
"Rowe, Elizabeth and Asbell-Clarke, Jodi and Gasca, Santiago and Cunningham, Kathryn",Assessing implicit computational thinking in zoombinis gameplay,2017,9781450353199.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3102071.3106352,10.1145/3102071.3106352,"In this study we examine how playing Zoombinis can help upper elementary and middle school learners build implicit computational thinking (CT) skills. Building on prior methods used with the digital science learning games, Impulse and Quantum Spectre, we are combining video analysis and educational data mining to identify implicit computational thinking that emerges through gameplay [1]. This paper reports on the first phase of this process: developing a human labeling system for evidence of specific CT skills (e.g., problem decomposition, pattern recognition, algorithmic thinking, abstraction) in three Zoombinis puzzle by analyzing video data from a sample of elementary learners, middle school learners, game experts, and computer scientists. Future work will combine these human-labeled video data with game log data from these 70+ learners and computer scientists to create automated assessments of implicit computational thinking skills from gameplay behaviors in large player audiences. This poster with video examples will share results of this work-in-progress.",Conference Proceedings,University of Oxford,ACM Transactions on Graphics
"Denning, Peter J.",Remaining trouble spots with computational thinking,2017,,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2998438,10.1145/2998438,Addressing unresolved questions concerning computational thinking.,Review Paper,Columbia University,PLOS ONE
"Harrison, W. Scott and Hanebutte, Nadine",Embracing coding mistakes to teach computational thinking,2018,,Consortium for Computing Sciences in Colleges,"Evansville, IN, USA",,,"In this paper, we argue for a pedagogical approach of embracing ""mistakes"" as an effective teaching tool for coding. This technique of teaching uses mistakes as a learning tool to teach computational thinking. Instead of simply showing and explaining correct solutions, code with logical errors is presented to the class. After verifying the code does not work, the class as a whole, becomes engaged in trying to correct the logical errors in code presented to the class. In this paper, we reference the Student Query Directed Learning approach which we map into our techniques. We present a transcript of a lecture one of the authors has given using this technique to illustrate motivations, how to steer the conversation where we want it to go, and student/instructor interactions. Finally, we suggest some ""ground rules"" to ensure this environment is all-encompassing and one which is conducive to learning.",Conference Proceedings,MIT,Science Advances
"Musaeus, Line Have",Developing Student's Computational Thinking through Agent-Based Modeling in Secondary Education,2019,9781450361859.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3291279.3339430,10.1145/3291279.3339430,"Computational thinking (CT) is emerging as an important theme in computer science and high school education. However, research is needed to develop pedagogies for introducing students to CT. This research study examines the possible synergistic effect of implementing CT into a STEM subject, e.g. biotechnology. The study uses three interventions in which students work with predesigned computer models. Quantitative and qualitative methods are being used to gather data for analyzing students' gain in both content knowledge and CT.",Case Study,University of Oxford,IEEE Transactions on Software Engineering
"Beason, Kara and Fenwick, James B. and Norris, Cindy",Introducing Middle School Students to Computational Thinking with the CS First Curriculum,2020,9781450371056.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3374135.3385264,10.1145/3374135.3385264,"Computational thinking (CT) is a set of concepts and problem-solving skills that are not only imperative for computer scientists, but important and applicable to nearly every discipline. CT skills are essential in a world where technology is ubiquitous. In the past decade, many efforts have been made to develop and evaluate computational thinking in primary and secondary students. Promoting CT skills in these young students can help reduce the underrepresentation of women and minorities in STEM careers since students who are exposed to CT at an early age are more likely to pursue a STEM discipline in college [18].This paper describes the COSMIC program, funded by Google's Tides Foundation, that introduces middle school students to CS and CT using the CS First curriculum and Scratch. The COSMIC activities spanned three years directly serving 700 students through 175 distinct events. Females comprised 51.1\% of the individuals served, and 10.2\% of those served were part of a minority group. The COSMIC activities allowed the researchers to investigate the effectiveness of the CS First curriculum. Using the Hairball-powered Dr. Scratch analysis tool on the curricular projects, the paper reports on the efficacy of the CS First curriculum in terms of its coverage of vital CT concepts and its success in transferring those concepts to middle school students.",Technical Report,ETH Zurich,IEEE Transactions on Software Engineering
"Tedre, Matti and Denning, Peter J.",The long quest for computational thinking,2016,9781450347709.0,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2999541.2999542,10.1145/2999541.2999542,"Computational thinking (CT) is a popular phrase that refers to a collection of computational ideas and habits of mind that people in computing disciplines acquire through their work in designing programs, software, simulations, and computations performed by machinery. Recently a computational thinking for K-12 movement has spawned initiatives across the education sector, and educational reforms are under way in many countries. However, modern CT initiatives should be well aware of the broad and deep history of computational thinking, or risk repeating already refuted claims, past mistakes, and already solved problems, or losing some of the richest and most ambitious ideas in CT. This paper presents an overview of three important historical currents from which CT has developed: evolution of computing's disciplinary ways of thinking and practicing, educational research and efforts in computing, and emergence of computational science and digitalization of society. The paper examines a number of threats to CT initiatives: lack of ambition, dogmatism, knowing versus doing, exaggerated claims, narrow views of computing, overemphasis on formulation, and lost sight of computational models.",Research Article,Columbia University,Journal of Computer Science
