Autores,Titulo,Año,ISBN,Editorial,Address,URL,DOI,Abstract
,Keywords: Acceptance and commitment therapy; Relational frame theory; Depression; Generalized anxiety disorder; Repetitive negative thinking,,,,,,,
 David Sebastian Baltazar,Eric Augusto Melchor Cruz,,,,,,,
,Nonconvexity and computational effort in the problem of Hydro-Power spillage policy assessment,,,,,,,
,Electric Power Systems Research,,,,,,,
,Volume 237,,,,,,,
,111005,,,,,,,
,ISSN 0378-7796,,,,,,,
,https://doi.org/10.1016/j.epsr.2024.111005.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0378779624008903),,,,,,,
 a combination technique is proposed to prevent erroneous spillage decisions. Given that the developed mathematical modeling lacks the convexity property,Abstract: This paper aims to assess the spillage policies in the Day-Ahead Hydro-Power Plant operation. For this purpose, and Interior Point algorithms. The simulations show that the water is managed distinctly depending on the optimizer and solution algorithms. Finally,,,,,,
,Keywords: Generation function; Hydro-Power Plant; Nonconvex; Spillage; Assessment,,,,,,,
 Daniel J. Carroll,Sarah R. Beck,,,,,,,
,Supporting children’s counterfactual thinking with alternative modes of responding,,,,,,,
 Issue 1,Volume 108,,,,,,,
,Pages 190-202,,,,,,,
,https://doi.org/10.1016/j.jecp.2010.07.009.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0022096510001487),,,,,,,
 children need to ignore what they know to be true about the real world. Prior studies yielding individual differences data suggested that counterfactual thinking may be related to overcoming prepotent responses. In two experiments,Abstract: To speculate about counterfactual worlds, separately,,,,,,
,Keywords: Counterfactual; Executive function; Inhibition; Imagination; Reasoning; Prepotent responses,,,,,,,
 Ilya Levin,Gilad Shamir,,,,,,,
,Teaching machine learning in elementary school,,,,,,,
,https://doi.org/10.1016/j.ijcci.2021.100415.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S2212868921000994),,,,,,,
 scant if any attention has been paid to ML in computing education,Abstract: The emergence and ubiquity of Artificial Intelligence in the form of Machine Learning (ML) systems have revolutionized daily life. However, indicate that they demonstrated computational thinking competencies at various levels. The learning by design group evidenced greater development in computational skills,,,,,,
,Keywords: Computational thinking; Constructionism; Artificial intelligence; Machine learning; Elementary school; Programming,,,,,,,
,Stefan P. Penczynski,,,,,,,
,Strategic thinking: The influence of the game,,,,,,,
,Journal of Economic Behavior & Organization,,,,,,,
,Volume 128,,,,,,,
,Pages 72-84,,,,,,,
,ISSN 0167-2681,,,,,,,
,https://doi.org/10.1016/j.jebo.2016.05.006.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0167268116300853),,,,,,,
 this study investigates the relevance of differing objectives (matching/mismatching) and of virtually moving first or second in the “hide and seek” game. In three different treatments,Abstract: In order to assess the extent to which features of a game affect the strategic sophistication of the people involved,,,,,,,
,Keywords: Level of reasoning; Task dependence; Virtual observability,,,,,,,
,Marios Kyriazis,,,,,,,
,Editorial: Re-thinking ageing: a cross-disciplinary perspective (A New Era for Ageing),,,,,,,
,Mechanisms of Ageing and Development,,,,,,,
,Volume 163,,,,,,,
,Page 1,,,,,,,
,ISSN 0047-6374,,,,,,,
,https://doi.org/10.1016/j.mad.2017.04.007.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0047637417301021),,,,,,,
 Scott Renkes,Homayoun Asadzadeh,,,,,,,
,Computational and experimental study of AC measurements performed by a double-nanohole plasmonic nanopore sensor on 20 nm silica nanoparticles,,,,,,,
,Sensing and Bio-Sensing Research,,,,,,,
,ISSN 2214-1804,,,,,,,
,https://doi.org/10.1016/j.sbsr.2024.100694.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S221418042400076X),,,,,,,
 we extend this method to AC sensing of 20 nm SiO2 (silica) nanoparticles,Abstract: A novel method of AC sensing is presented that uses a double nanohole (DNH) nanoaperture atop a solid-state nanopore (ssNP) to trap analytes and measure their optical and electrical properties. In this method analytes are propelled by an external applied voltage towards the sensor until they are trapped at the DNH-ssNP interface via a self-induced back action (SIBA) plasmonic force. We have previously named this method SIBA Actuated Nanopore Electrophoresis (SANE) sensing and have shown its ability to perform concurrent optical and DC electrical measurements. Here, offering a promising tool for enhancing quality control of nanoparticle-mediated drug and gene delivery systems.,,,,,,
,Keywords: Solid-state nanopores; Double nanohole; Plasmonic; Optical trapping; Conductance; AC; Phase shift; Computational model; COMSOL,,,,,,,
,Clarice Bleil de Souza,,,,,,,
,Contrasting paradigms of design thinking: The building thermal simulation tool user vs. the building designer,,,,,,,
,Automation in Construction,,,,,,,
,Pages 112-122,,,,,,,
,ISSN 0926-5805,,,,,,,
,https://doi.org/10.1016/j.autcon.2011.09.008.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0926580511001695),,,,,,,
 in theory,Abstract: This paper contrasts two different paradigms of design thinking: the one of the dynamic thermal simulation tool users with the one of the building designer. It shows that,,,,,,,
,Keywords: Thermal simulation; Paradigms of design thinking; Role of simulation in design; Integration of simulation in design; Criticising integrated simulation,,,,,,,
 Qi Tang,Matthew J. Picklo,,,,,,,
,Denoising Particle-In-Cell data via Smoothness-Increasing Accuracy-Conserving filters with application to Bohm speed computation,,,,,,,
,Journal of Computational Physics,,,,,,,
,Volume 502,,,,,,,
,112790,,,,,,,
,ISSN 0021-9991,,,,,,,
,https://doi.org/10.1016/j.jcp.2024.112790.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0021999124000391),,,,,,,
 requiring three spatial dimensions and three velocity dimensions. One popular numerical approach is Particle-In-Cell (PIC) methods owing to its ease of implementation and favorable scalability in high-dimensional problems. An unfortunate drawback of the method is the introduction of statistical noise resulting from the use of finitely many particles. In this paper we examine the application of the Smoothness-Increasing Accuracy-Conserving (SIAC) family of convolution kernel filters as denoisers for moment data arising from PIC simulations. We show that SIAC filtering is a promising tool to denoise PIC data in the physical space as well as capture the appropriate scales in the Fourier space. Furthermore,Abstract: The simulation of plasma physics is computationally expensive because the underlying physical system is of high dimensions,,,,,,,
,Keywords: Particle-In-Cell; SIAC filters; Denoising,,,,,,,
 Rachel Charlotte Smith,Marie-Monique Schaper, Anja Zeising,,,,,,
 agency and participation in computation,Computational Empowerment and children: Expanding empowerment,,,,,,,
,100617,,,,,,,
,https://doi.org/10.1016/j.ijcci.2023.100617.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S2212868923000545),,,,,,,
 Michael Ortiz,Burigede Liu,,,,,,,
,Towards quantum computational mechanics,,,,,,,
,Computer Methods in Applied Mechanics and Engineering,,,,,,,
 Part B,Volume 432,,,,,,,
,117403,,,,,,,
,ISSN 0045-7825,,,,,,,
,https://doi.org/10.1016/j.cma.2024.117403.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0045782524006583),,,,,,,
 operating on entirely different physical principles and abstractions from those of classical digital computers,Abstract: The advent of quantum computers, we demonstrate how quantum computing can indeed be used to solve representative volume element (RVE) problems in computational homogenisation with polylogarithmic complexity of O((logN)c), classical piecewise Chebyshev approximation of functions and an auxiliary algorithm for implementing the fixed-point iteration and show that,,,, indeed, including the Quantum Fourier Transform (QFT)
,Keywords: Quantum computing; Multiscale analysis; Quantum Fourier transform; Quantum polynomial encoding; Gate-based quantum computing,,,,,,,
 David Sander,Yoann Stussi,,,,,,,
 appraised concern-relevance,Computational analysis,,,,,,,
,Neuroscience & Biobehavioral Reviews,,,,,,,
,105676,,,,,,,
,ISSN 0149-7634,,,,,,,
,https://doi.org/10.1016/j.neubiorev.2024.105676.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0149763424001453),,,,,,,
,Keywords: Emotion; Appraisal; Concerns; Learning; Computational approach; Algorithm; Amygdala,,,,,,,
 Julie D. Henry,Adam Bulley,,,,,,,
,Thinking about threats: Memory and prospection in human threat management,,,,,,,
,Pages 53-69,,,,,,,
,https://doi.org/10.1016/j.concog.2017.01.005.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S1053810017300326),,,,,,,
 but important questions remain about its role in threat management. In this article,Abstract: Humans have evolved mechanisms for the detection and management of possible threats in order to abate their negative consequences for fitness. Internally generated (‘detached’) cognition may have evolved in part because of its contributions to this broad function, as well as to plan for dangers that might arise in the distant future. However,,,,,,
,Keywords: Episodic foresight; Episodic memory; Semantic memory; Mental time travel; Threat detection; Anxiety; Worry; Evolution; Evolutionary psychology; Counterfactual thinking,,,,,,,
 Minjian Guo,Meng Zhang,,,,,,,
,RETRACTED: Creative thinking and musical collaboration: Promoting online learning groups for aspiring musicians,,,,,,,
,100947,,,,,,,
,https://doi.org/10.1016/j.tsc.2021.100947.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S1871187121001620),,,,,,,
 Rebecca Roberts,Ashley Ringer McDonald,,,,,,,
,Undergraduate structural biology education: A shift from users to developers of computation and simulation tools,,,,,,,
,Current Opinion in Structural Biology,,,,,,,
,Pages 39-45,,,,,,,
,ISSN 0959-440X,,,,,,,
,https://doi.org/10.1016/j.sbi.2021.07.012.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0959440X21001202),,,,,,,
 molecular biology,Abstract: The use of theory and simulation in undergraduate education in biochemistry, materials, visualization,,,, and simulation, including programming
 P.L. Faber,P. Milz, R.D. Pascual-Marqui,,,,,,
,The functional significance of EEG microstates—Associations with modalities of thinking,,,,,,,
,Volume 125,,,,,,,
,Pages 643-656,,,,,,,
,https://doi.org/10.1016/j.neuroimage.2015.08.023.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S105381191500734X),,,,,,,
 global functional state of the brain is reflected by its electric field configuration. Cluster analytical approaches consistently extracted four head-surface brain electric field configurations that optimally explain the variance of their changes across time in spontaneous EEG recordings. These four configurations are referred to as EEG microstate classes A,Abstract: The momentary, visual, verbalization (6 runs each), and coverage of microstate classes A and B. Contrary to associations suggested by previous reports,,, and resting (7 runs). After each run, male students during four eyes-closed conditions: object-visualization
,Keywords: Cognitive style; eLORETA; Object; Spatial; Verbal; Visual,,,,,,,
 Andrei Cimpian,Zachary Horne,,,,,,,
,Intuitions about personal identity are rooted in essentialist thinking across development,,,,,,,
,103981,,,,,,,
,https://doi.org/10.1016/j.cognition.2019.05.018.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0010027719301428),,,,,,,
 this literature has focused on identifying the psychological states (e.g.,Abstract: What aspects of a person determine whether they are the same person they were in the past? This is one of the fundamental questions of research on personal identity. To date, are judged to change who the person is at some level. Here,,,,,,
,Keywords: Essentialism; Identity; Development; Self; Philosophy,,,,,,,
 Cihan Dagli,Feng Yang,,,,,,,
,Cognition Evolutionary Computation for System-of-systems Architecture Development,,,,,,,
,Pages 40-45,,,,,,,
,https://doi.org/10.1016/j.procs.2011.08.010.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S1877050911004753),,,,,,,
 and the complex causal relationship between the architecture of system-of-systems and its emergent behavior make the problem of system-of-systems architecture development a great challenge. As a tentative effort in meeting this special challenge,Abstract: The evolving nature of system-of-systems requirements and corresponding architecture, that drives the co-evolution of problem space,,,,,,
,Keywords: System-of-systems; Architecture; Evolutionary Computation; Cognition Evolutionary Computation,,,,,,,
 Fengqi You,Gonzalo Guillén-Gosálbez,,,,,,,
,Process systems engineering thinking and tools applied to sustainability problems: current landscape and future opportunities,,,,,,,
,Current Opinion in Chemical Engineering,,,,,,,
,Volume 26,,,,,,,
,Pages 170-179,,,,,,,
,ISSN 2211-3398,,,,,,,
,https://doi.org/10.1016/j.coche.2019.11.002.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S2211339819300541),,,,,,,
 reviewing the main tools available and describing major applications in sustainability problems spanning multiple scales,Abstract: In this work we provide a perspective on Process Systems Engineering (PSE) in the context of sustainability, we discuss future research directions,,,,,,
 Darya L. Zabelina,Carl E. Stevens,,,,,,,
,Classifying creativity: Applying machine learning techniques to divergent thinking EEG data,,,,,,,
,Volume 219,,,,,,,
,116990,,,,,,,
,https://doi.org/10.1016/j.neuroimage.2020.116990.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S1053811920304766),,,,,,,
 and more creative task conditions. The present study investigated the potential for machine learning to classify more and less creative brain states. Participants completed an Alternate Uses Task,Abstract: Prior research has shown that greater EEG alpha power (8–13 ​Hz) is characteristic of more creative individuals, we expected that ML would be successful at classifying more (vs. less) creative individuals. As expected,,,,,, 82.3% classification accuracy was attained. These findings indicate the potential for broader adoption of machine learning in creativity research.
,Keywords: Alpha; Classification; EEG; Creativity; AUT,,,,,,,
 Clélia de Mulatier,Sergey V. Kovalchuk, Jack Dongarra,,,,,,
,Computation at the Cutting Edge of Science,,,,,,,
,https://doi.org/10.1016/j.jocs.2024.102379.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S1877750324001728),,,,,,,
,Colin Ware,,,,,,,
,Chapter Eleven - Thinking With Visualizations,,,,,,,
,Editor(s): Colin Ware,,,,,,,
,In Interactive Technologies,,,,,,,
,Information Visualization (Fourth Edition),,,,,,,
,Pages 393-424,,,,,,,
,ISBN 9780128128756,,,,,,,
,https://doi.org/10.1016/B978-0-12-812875-6.00011-6.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/B9780128128756000116),,,,,,,
 such as clicking on an object or moving a slider,Abstract: This chapter begins by outlining the cognitive system involved in thinking with visualizations. These are processes that occur partly in a computer and partly in the visual brain of the user. The output of the computer is a series of visual images that are processed through the visual system of the user. The output of the user is a set of epistemic actions,,,,,,,
,Keywords: Change blindness; Cognitive system; Computational data mappings; Degree-of-relevance highlighting; Design sketching; Epistemic actions; Generalized fisheye views; Intrasaccadic scanning loop; Knowledge transfer; Mental imagery; Mental images; Multidimensional dynamic queries; Pattern perception; Pattern-finding loop; Scatterplots; Spatial information; Visual cognitive system components; Visual queries; Visual thinking algorithms; Visual working memory capacity,,,,,,,
,Norman Uphoff,,,,,,,
 processes and dimensions,Systems thinking on intensification and sustainability: systems boundaries,,,,,,,
,Current Opinion in Environmental Sustainability,,,,,,,
,Pages 89-100,,,,,,,
,ISSN 1877-3435,,,,,,,
,https://doi.org/10.1016/j.cosust.2014.10.010.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S1877343514000827),,,,,,,
 made worse by combining them. The terms can be made more serviceable by distinguishing between definitions by extension and definitions by intension. Difficulties with the term ‘intensification’ are addressed by considering the System of Rice Intensification (SRI). This reverses Green Revolution thinking about intensification as a matter of increasing material inputs. Changes in crop management can raise food output by reducing such inputs,Abstract: ‘Sustainable intensification’ is gaining popularity among academics and donor agencies without much examination of the ambiguities in both terms,,,,,,,
,Renato Sobral Monteiro-Junior,,,,,,,
,COVID-19: Thinking about further mental and neurological disorders,,,,,,,
,Medical Hypotheses,,,,,,,
,Volume 143,,,,,,,
,109894,,,,,,,
,ISSN 0306-9877,,,,,,,
,https://doi.org/10.1016/j.mehy.2020.109894.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S030698772031046X),,,,,,,
 Valerie A. Thompson,Matthieu Raoelison,,,,,,,
,The smart intuitor: Cognitive capacity predicts intuitive rather than deliberate thinking,,,,,,,
,104381,,,,,,,
,https://doi.org/10.1016/j.cognition.2020.104381.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0010027720302006),,,,,,,
 recent findings suggest that there can also be a positive correlation between cognitive capacity and correct intuitive thinking. Here we present results from 2 studies that directly contrasted whether cognitive capacity is more predictive of having correct intuitions or successful deliberate correction of an incorrect intuition. We used a two-response paradigm in which people were required to give a fast intuitive response under time pressure and cognitive load and afterwards were given the time to deliberate. We used a direction-of change analysis to check whether correct responses were generated intuitively or whether they resulted from deliberate correction (i.e.,Abstract: Cognitive capacity is commonly assumed to predict performance in classic reasoning tasks because people higher in cognitive capacity are believed to be better at deliberately correcting biasing erroneous intuitions. However,,,,,,,
,Keywords: Reasoning; Decision-making; Cognitive capacity; Dual process theory; Heuristics & Biases,,,,,,,
 Jinfa Cai,Meixia Ding,,,,,,,
,Mathematics in STEM education,,,,,,,
,Pages 19-27,,,,,,,
,https://doi.org/10.1016/B978-0-12-818630-5.13035-0.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/B9780128186305130350),,,,,,,
 we discuss how mathematics can play a role in STEM activities in K–12 classrooms. From the perspective of content,Abstract: In this article,,,,,,,
,Keywords: Computational thinking; Content; Explicit; Integration; K–12; Language tool; Mathematics; Process; Mathematical reasoning; STEM; Thinking tool,,,,,,,
 Elizabeth Bowman,Peter Bossaerts, Carsten Murawski,,,,,,
 computational complexity,Resource allocation,,,,,,,
,Journal of Behavioral and Experimental Finance,,,,,,,
,100906,,,,,,,
,ISSN 2214-6350,,,,,,,
,https://doi.org/10.1016/j.jbef.2024.100906.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S2214635024000212),,,,,,,
 we study the design of financial markets to help spread knowledge about solutions to the 0-1 Knapsack Problem (KP),Abstract: With three experiments, values depend on solutions to probabilistic problems,,,,,,
,Keywords: Computational complexity; Knapsack problem; Resource allocation; Market design; Securities design; Oracles; Complete markets; Noisy rational expectations,,,,,,,
 Tugce Aldemir,Ali Bicer, Jana L. Nelson,,,,,,
,Exploring creativity in mathematics assessment: An analysis of standardized tests,,,,,,,
,101652,,,,,,,
,https://doi.org/10.1016/j.tsc.2024.101652.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S1871187124001901),,,,,,,
 PARCC and SBAC) do offer students some opportunities to exhibit their creative thinking skills by incorporating creativity-directed problems (e.g.,Abstract: This paper aims to investigate whether US standardized tests provide opportunities for students to demonstrate their creative thinking abilities through the inclusion of creativity-directed problems in their mathematics assessments. Our results indicated that two commonly used standardized national tests (i.e.,,,,,,,
,Keywords: Mathematical creativity; Assessment for creativity; Creativity-directed tasks,,,,,,,
,N.Y. Louis Lee,,,,,,,
,Chapter 4 - Cross-Cultural Differences in Thinking: Some Thoughts on Psychological Paradigms,,,,,,,
 T.J. Lane,Editor(s): T.-W. Hung,,,,,,,
,Rationality,,,,,,,
,Pages 61-73,,,,,,,
,ISBN 9780128046005,,,,,,,
,https://doi.org/10.1016/B978-0-12-804600-5.00004-0.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/B9780128046005000040),,,,,,,
 the recent notion of WEIRD: Western,Abstract: Cross-cultural psychological differences in human thinking remain a controversial and challenging subject. Critics have rightly pointed out that most existing studies on thinking have been performed on biased samples (eg, and democratic, two key questions remain underaddressed: are current methodologies in the psychology of thinking inherently biased toward explaining Western behavior? Or,,,, to push even further, and hence the universality of findings of such studies ought to be challenged. Yet
,Keywords: sudoku; mind game; piecemeal intellectual endeavours; analytic thinking; cross-cultural psychology; cognitive universals; piecemeal intellectual endeavors; holistic and analytic thinking,,,,,,,
 Gozdegul Arik Karamik,Gulfem Sarpkaya,,,,,,,
,Reflection of primary school 6th grade mathematics activities on the development of students mathematical thinking,,,,,,,
,Pages 1163-1167,,,,,,,
,https://doi.org/10.1016/j.sbspro.2011.03.256.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S1877042811004356),,,,,,,
 case study was used to work. The case has been appointed as the classroom activities. In this context,Abstract: The purpose of this study is to investigate 6th grade math class activities with students in classroom interactions in terms of development of mathematical thinking respectively. Qualitative research methods,,,,,,,
,Keywords: Communication standards; learning and teaching process; classroom interaction,,,,,,,
,Weijuan Li,,,,,,,
,RETRACTED: Studying creativity and critical thinking skills at university and students' future income,,,,,,,
,100980,,,,,,,
,https://doi.org/10.1016/j.tsc.2021.100980.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S1871187121001954),,,,,,,
,Elizabeth A. Hobson,,,,,,,
,Network Thinking in Animal Social Behavior,,,,,,,
 Issue 6,Volume 31,,,,,,,
,Pages 411-412,,,,,,,
,https://doi.org/10.1016/j.tree.2016.02.018.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S016953471600063X),,,,,,,
 Mark Vicars,Janine Aldous Arantes,,,,,,,
,Rescripting creativity after automation: situating the simulacrum to interpret the queerness of computational creativity,,,,,,,
,Qualitative Research Journal,,,,,,,
 Issue 5,Volume 23,,,,,,,
,Pages 515-528,,,,,,,
,ISSN 1443-9883,,,,,,,
,https://doi.org/10.1108/QRJ-01-2023-0012.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S144398832300036X),,,,,,,
 and has become a significant presence in,The purpose of this paper is to examine how automation in the ever-changing technological landscape is increasing integrated into,,,,,,,
 the authors provide a contemplation of automation and its effect on creativity,Through post qualitative inquiry,,,,,,,
 contribute,The authors discuss how we behave, creativity and agency are being modulated by the machine.,,,,,,
 by considering the way creativity is being performed and situated within the effects of automation and its role in dis/locations,This paper offers a nuanced consideration of creativity,,,,,,,
,Keywords: Automation; Creativity; Simulacrum; Technology; Post qualitative,,,,,,,
,Aavudai Anandhi,,,,,,,
,CISTA-A: Conceptual model using indicators selected by systems thinking for adaptation strategies in a changing climate: Case study in agro-ecosystems,,,,,,,
,Volume 345,,,,,,,
,Pages 41-55,,,,,,,
,https://doi.org/10.1016/j.ecolmodel.2016.11.015.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S030438001630730X),,,,,,,
 climate systems and adaptive management and planning systems. Multiple factors shape adaptive responses to a changing climate because of the complexities and multi-disciplinary nature of these three systems. In this study,Abstract: Adapting our ecosystems to climate change for sustainable management requires an understanding of three broad interconnected systems: ecosystems, agro-hydrological,,,,,,
,Keywords: Adaptation strategies; Kansas agriculture; Climate change impacts; Conceptual model; Ogallala aquifer; Hard and soft systems thinking; Inductive and deductive approach,,,,,,,
,Lawrence W. Barsalou,,,,,,,
,Define Design Thinking,,,,,,,
,Pages 102-105,,,,,,,
,https://doi.org/10.1016/j.sheji.2017.10.007.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S2405872617301211),,,,,,,
,Michael Lissack,,,,,,,
,Understanding Is a Design Problem: Cognizing from a Designerly Thinking Perspective. Part 1,,,,,,,
 Issue 3,Volume 5,,,,,,,
,Pages 231-246,,,,,,,
,https://doi.org/10.1016/j.sheji.2019.07.002.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S2405872619300589),,,,,,,
 symbols,Abstract: Understanding and cognition are traditionally viewed as philosophical and scientific issues where there is little room for contribution from the design community. This article proposes a radically different approach based on the observation that we live in a world that is more complex than our minds/brains possess the ability to process in its entirety. Our limited equipment forces us to deal with only selected aspects of any given piece of that complex world at each instant. Selection—be it conscious or unconscious—involves agency and choice. Design and design thinking scholars have much to say about how agency and choice can be impacted by still other choices—context,,,,,,,
,Keywords: Design; Cognition; Understanding; Representation; Narrative; Cybernetics,,,,,,,
,Maria Kapsali,,,,,,,
,Systems thinking in innovation project management: A match that works,,,,,,,
,International Journal of Project Management,,,,,,,
 Issue 4,Volume 29,,,,,,,
,Pages 396-407,,,,,,,
,ISSN 0263-7863,,,,,,,
,https://doi.org/10.1016/j.ijproman.2011.01.003.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0263786311000044),,,,,,,
 and investigates how the use of systems thinking in project management can help projects be more successful. Based on 12 case studies of two EU innovation policies,Abstract: This paper discusses why conventional project management practices lead to the failure of publicly funded innovation deployment projects, innovation projects are more successful. This research refutes previous theory that claims that we should formalize to manage complexity and uncertainty. The key finding is that systems thinking methods provide the flexibility to manage innovativeness,,,,,,
,Keywords: Systems thinking; Innovation project management,,,,,,,
 Rosamaria Crisci,Manon Laurent, Erica de Vries,,,,,,
,Impact of programming on primary mathematics learning,,,,,,,
,101667,,,,,,,
,https://doi.org/10.1016/j.learninstruc.2022.101667.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0959475222000883),,,,,,,
 the effects of a programming activity,Abstract: The aim of this study is to investigate whether a programming activity might serve as a learning vehicle for mathematics acquisition in grades four and five. For this purpose, additive decomposition (N = 1,,,,,,
,Keywords: Computational thinking; Programming activity; Mathematics learning; Primary school; Randomized trial; Learning transfer,,,,,,,
 Ricarda I. Schubotz,Anna Abraham,,,,,,,
,Thinking about the future versus the past in personal and non-personal contexts,,,,,,,
,Brain Research,,,,,,,
,Volume 1233,,,,,,,
,2008,,,,,,,
,Pages 106-119,,,,,,,
,ISSN 0006-8993,,,,,,,
,https://doi.org/10.1016/j.brainres.2008.07.084.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0006899308018246),,,,,,,
 or thinking about hypothetical future personal events. What has received no attention is semantic prospection or contemplating hypothetical future world events. Using functional magnetic resonance imaging (fMRI),Abstract: The ability to ponder the future is a hallmark of human imagination. Neuroimaging research so far has focused on episodic prospection, these findings provide novel and critical insights into the complex interactions between different processes involved in prospective and retrospective thought as modulated by the type of processed content.,,,,,,
,Keywords: Mental time travel; Prospection; Episodic memory; Semantic memory; Self-referential thinking; Functional neuroimaging,,,,,,,
 Nicola Cardinale,Valeria Selicati,,,,,,,
,The interoperability of exergy and Life Cycle Thinking in assessing manufacturing sustainability: A review of hybrid approaches,,,,,,,
,Volume 286,,,,,,,
,124932,,,,,,,
,https://doi.org/10.1016/j.jclepro.2020.124932.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0959652620349763),,,,,,,
 the Life Cycle Assessment (LCA) is the most employed tool for assessing the sustainability of products and processes,Abstract: Today, there are drawbacks that seem to be too challenging to overcome: a variety of inconsistencies in the interpretation of the results due to the difficulty of the inventory phase and the ambiguity in the choice of the correct alternative in the standard databases; the link with old techniques that refers to obsolete approaches in finding data that suit to the updated goals and scopes; the difficulty in conducting an assessment affected by the least possible uncertainty. Following a theoretical overview of the principles of each hybrid method that binds EA and LCA, the practitioners would be able to choose the best suited hybrid methodology,,,, according to their aims, may offer a suitable answer for all conditions. Specifically
,Keywords: Exergy; Hybrid methods; Integration modelling; Life cycle assessment; Process reversibility; Sustainable manufacturing,,,,,,,
 Dominic Mischler,Simon Lambert, Boyko Gueorguiev,,,,,,
,From creative thinking to scientific principles in clinical practice,,,,,,,
,Injury,,,,,,,
 Issue 1,Volume 52,,,,,,,
,Pages 32-36,,,,,,,
,ISSN 0020-1383,,,,,,,
,https://doi.org/10.1016/j.injury.2020.09.036.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0020138320307397),,,,,,,
 healing,Abstract: Stephan Perren's contributions to the understanding and application of the principles of bone pathobiology,,,,,,,
,Keywords: Stephan Perren; AO Foundation; Strain theory; Education; Surgical skills; ICUC; OSAPP,,,,,,,
 Tom J. Cooper,Elizabeth A. Warren,,,,,,,
,Investigating functional thinking in the elementary classroom: Foundations of early algebraic reasoning,,,,,,,
 Issue 3,Volume 25,,,,,,,
,Pages 208-223,,,,,,,
,https://doi.org/10.1016/j.jmathb.2006.09.006.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0732312306000356),,,,,,,
 with a second researcher and classroom teacher acting as participant observers. These lessons were designed to enable students to build mental representations in order to explore the use of function tables by focusing on the relationship between input and output numbers with the intention of extracting the algebraic nature of the arithmetic involved. All lessons were videotaped. The results indicate that elementary students are not only capable of developing functional thinking but also of communicating their thinking both verbally and symbolically.,Abstract: This paper examines the development of student functional thinking during a teaching experiment that was conducted in two classrooms with a total of 45 children whose average age was nine years and six months. The teaching comprised four lessons taught by a researcher,,,,,,,
,Keywords: Mathematics; Learning; Elementary; Algebra; Function,,,,,,,
 Anat Kasirer,Nira Mashal,,,,,,,
,Thinking maps enhance metaphoric competence in children with autism and learning disabilities,,,,,,,
,Research in Developmental Disabilities,,,,,,,
,Pages 2045-2054,,,,,,,
,ISSN 0891-4222,,,,,,,
,https://doi.org/10.1016/j.ridd.2011.08.012.,,,,,,,
,(https://www.sciencedirect.com/science/article/pii/S0891422211003155),,,,,,,
