Authors,afiliacion_primer_autor,Cantidad
H. Liu; Z. Wu; Y. Lu; L. Zhu,University of Cambridge,1
H. M. Jamil,Peking University,1
H. M. Jamil; X. Mou,ETH Zurich,1
H. Nagumo; Y. Oomori; Y. Takemura,University of Sydney,1
H. Ren; L. Yang; L. Jiang; Y. Bai; W. Lu; J. Chang,University of Oxford,1
H. Saleh,Columbia University,1
H. Sharaf; A. Badr; I. Farag,National University of Singapore,1
H. Shoaib; M. Cardella; A. Madamanchi; D. Umulis,California Institute of Technology,1
H. Tanioka; R. Yano,University of Hong Kong,1
H. W. Fennell; J. A. Lyon; A. J. Magana; S. Rebello; C. M. Rebello; Y. B. Peidrahita,California Institute of Technology,1
H. Wang,California Institute of Technology,1
H. Wang; C. Zhang; W. Wang; X. Hu; F. Xu,National University of Singapore,1
H. Wang; H. -T. Yang; C. -T. Sun,Imperial College London,1
H. Yuan; Y. Ping,Stanford University,1
H. Yuemin; J. Linhong,National University of Singapore,1
H. Zhao; B. Sun,Tsinghua University,1
"Hadad, Roxana and Hausman Jacobson, C. Meghan and Thomas, Kate and Sol\'{o}rzano, Germania and Kachovska, Mila and Yin, Yue",Peking University,1
Hajipour Machiani N.; Taleizadeh A.A.; Toloo M.; Abedsoltan H.,Peking University,1
"Hammond, Thomas C. and Oltman, Julia and Manfra, Meghan M.",University of Tokyo,1
Hanatani J.-I.; Kitagawa K.; Tomooka F.; Asada S.; Mitoro A.; Fujinaga Y.; Nishimura N.; Sato S.; Shibamoto A.; Fujimoto Y.; Kubo T.; Iwai S.; Tsuji Y.; Namisaki T.; Akahane T.; Kaji K.; Tanaka M.; Koizumi A.; Yorioka N.; Matsuda T.; Masuda H.; Takami M.; Kikuchi M.; Kawanishi M.; Ohoka K.; Watanabe D.; Kawasaki A.; Yoshiji H.,National University of Singapore,1
"Harrison, W. Scott and Hanebutte, Nadine",MIT,1
"Hawthorne, Elizabeth",University of Tokyo,1
"Heintz, Fredrik and Mannila, Linda",Stanford University,1
"Heintz, Fredrik and Mannila, Linda",University of Sydney,1
"Henao, Cristhiam and Naranjo, Juan Sebasti\'{a}n and Cano, Sandra and Pe\~{n}e\~{n}ory, Victor M.",Princeton University,1
Herng O.W.; Nasir A.S.A.; Sukor A.S.A.,Yale University,1
"Herrero-\'{A}lvarez, Rafael",ETH Zurich,1
"Hiley, Katherine and Cebolla, Hannah and Elshehaly, Mai",Tsinghua University,1
"Hill, Charlotte",National University of Singapore,1
"Hodhod, Rania and Khan, Shamim and Kurt-Peker, Yesem and Ray, Lydia",California Institute of Technology,1
Hong Liu; Huichuan Duan; Xiyu Liu,ETH Zurich,1
"Hoover, Amy K. and Barnes, Jackie and Fatehi, Borna and Moreno-Le\'{o}n, Jes\'{u}s and Puttick, Gillian and Tucker-Raymond, Eli and Harteveld, Casper",Peking University,1
"Horn, Michael and Zaman, Bieke",Stanford University,1
"Hoskey, Arthur and Zhang, Sen",University of Melbourne,1
"Howell, Linda and Jamba, Lisa and Kimball, A. Samuel and Sanchez-Ruiz, Arturo",University of Tokyo,1
Hu M.; Li M.; Chen Y.; Liu H.,University of Melbourne,1
"Hu, Chenglie",University of Sydney,1
"Hu, Chiu-Fan and Wu, Cheng-Chih",Columbia University,1
Huang L.; Yang X.; Feng Y.; Huang H.-X.; Hu J.-Q.; Yan P.-Y.; Pan H.-D.; Xie Y.,Tsinghua University,1
"Huang, Wendy and Chan, Shiau Wei and Looi, Chee Kit",University of Hong Kong,1
I. A; R. B; L. S; M. S. D; M. K,MIT,1
I. Dimos; C. Velaora; A. Kakarountas,Yale University,1
I. E. Khuda; S. Ahmad; A. Ashraf Ateya,University of Toronto,1
I. I. Moraru; J. C. Schaff; L. M. Loew,Imperial College London,1
I. M. L. Souza; W. L. Andrade; L. M. R. Sampaio,Tsinghua University,1
I. Morais; M. S. Bachrach,University of Hong Kong,1
I. S. Ahmad; T. Y. Sim; C. A. Talib,MIT,1
I. S. Ahmad; T. Ying Sim; C. A. Talib; S. Lun Lau,University of Sydney,1
I. Santos; E. C. Grebogy; M. A. Castilho,National University of Singapore,1
I. Tingzon; N. Dejito; R. A. Flores; R. De Guzman; L. Carvajal; K. Z. Erazo; I. E. Contreras Cala; J. Villaveces; D. Rubio; R. Ghani,Harvard University,1
I. Villanueva-Miranda; K. Mortimer; M. Akbar; R. R. Reyes; C. Ontiveros; S. Gray; P. Delgado; V. Medrano; M. Anderson; J. Ramirez; J. Vazquez,University of Toronto,1
I. Vlahović; I. O. Biškupić,University of Cambridge,1
I. Yuliana; L. P. Octavia; E. Sudarmilah; M. Matahari,Yale University,1
"Imberman, Susan P. and Sturm, Deborah and Azhar, Mohammad Q.",Harvard University,1
"India, Gesu and Ramakrishna, Geetha and Bisht, Jyoti and Swaminathan, Manohar",Yale University,1
Iqbal N.; Bouri E.; Ozkan O.,University of Oxford,1
"Israel, Maya and Liu, Ruohan and Yan, Wei and Sherwood, Heather and Martin, Wendy and Fancsali, Cheri and Rivera-Cash, Edgar and Adair, Alexandra",Yale University,1
"Iversen, Ole Sejer and Smith, Rachel Charlotte and Dindler, Christian",Yale University,1
J. -M. Su; C. -T. Liao; C. -T. Chen; L. -H. Wang,University of Melbourne,1
J. -M. Su; D. -Q. Lian,University of Tokyo,1
J. -M. Su; S. -J. Wang,Columbia University,1
J. -M. Su; Y. -E. Lin; W. -F. Hsu; T. -T. Wu,Harvard University,1
J. A. Díaz Leon; W. E. Abad Jiménez; J. L. Barraza Ramírez; S. A. Frontado Aldana; A. T. A. Puma Alvites; R. L. Solórzano Pinzás,University of Sydney,1
J. A. Jiménez Toledo; C. A. Collazos; M. Ortega; D. X. Ramos,University of Oxford,1
J. Arnedo-Moreno; D. García-Solórzano,Stanford University,1
J. Bishop; M. M. H. Goode,University of Toronto,1
J. Botev; K. Bellman,University of Oxford,1
J. Broekens; L. Dai,National University of Singapore,1
J. Bross; A. E. Acar; P. Schilf; C. Meinel,Tsinghua University,1
J. Bustillo; P. Garaizar,National University of Singapore,1
J. Cao; S. D. Fleming; M. Burnett; C. Scaffidi,National University of Singapore,1
J. Causey; J. Stubblefield; J. Qualls; J. Fowler; L. Cai; K. Walker; Y. Guan; X. Huang,Princeton University,1
J. Chen,Columbia University,1
J. Chen; B. Lu,University of Tokyo,1
J. Coffen-Burke; K. -W. K. Yang; C. O. Taylor,University of Chicago,1
J. Cross; E. Hamner; L. Zito; I. Nourbakhsh,University of Hong Kong,1
J. Cui; X. Ning; M. Wu; F. Li,University of Cambridge,1
J. D. Pinto; C. Quintana; R. M. Quintana,University of Cambridge,1
J. D. R. García; J. M. León; M. R. González; G. Robles,Columbia University,1
J. Dong; J. -w. Zhang,University of Sydney,1
J. Dundas; M. Ling,University of Cambridge,1
J. F. Calderón; J. Ebers,University of Toronto,1
J. F. Oliveira; C. C. Quarto; A. L. Silva Dos Santos; I. C. P. Belfort; E. de Jesus Viana Sá; J. R. S. Santos,University of Hong Kong,1
J. F. Pane; M. B. Rosson,University of Melbourne,1
J. F. Pane; S. Wiedenbeck,Columbia University,1
J. F. Roscoe; S. Fearn; E. Posey,Yale University,1
J. G. Taylor; M. Hartley,Columbia University,1
J. Good; K. Howland; K. Nicholson,Princeton University,1
J. Goode; K. Peterson; J. Malyn-Smith; G. Chapman,National University of Singapore,1
J. Goode; K. Peterson; J. Malyn-Smith; G. Chapman,Stanford University,1
J. Goodman; S. Lucas,University of Cambridge,1
J. Guniš; L. Šnajder; L. Antoni; P. Eliaš; O. Krídlo; S. Krajči,University of Sydney,1
J. H. Núñez; A. M. Ecos Espino; A. R. Alvitez; M. A. Latorre Vilca,Imperial College London,1
J. Han; X. Wang,University of Sydney,1
J. Hanč; M. Hančová; V. Jurková; D. Šveda,Yale University,1
J. Hu; C. Guan,MIT,1
J. Hu; Y. -h. Chen; C. Guan,Imperial College London,1
J. Huang; L. Hang,Peking University,1
J. Huang; X. Zhang; Y. Tang,Harvard University,1
J. I. Clark,University of Melbourne,1
J. Isaac; S. V. Babu,University of Chicago,1
J. Kallberg; T. S. Cook,University of Oxford,1
J. Keene; H. M. Jamil,ETH Zurich,1
J. Kim; C. Park; W. Jang; R. Y. C. Kim,University of Oxford,1
J. Kosztolányi; Z. Tégla,University of Toronto,1
J. Krugel; P. Hubwieser,Stanford University,1
J. L. Causey; K. Li; X. Chen; W. Dong; K. Walker; J. A. Qualls; J. Stubblefield; J. H. Moore; Y. Guan; X. Huang,Stanford University,1
J. Li; C. -j. Li,Peking University,1
J. Li; J. Cuddapah; M. Torres-Crespo; A. Stewart; A. Williams,Tsinghua University,1
J. Liao; L. Zhong; L. Zhe; H. Xu; M. Liu; T. Xie,Peking University,1
J. Liu; L. Wang,University of Sydney,1
J. Liu; M. Zhang; X. Hu,Peking University,1
J. Liu; X. Xia; Y. Bai; P. Liu,ETH Zurich,1
J. Liu; Y. Bai; X. Xia,University of Melbourne,1
J. Liu; Z. Sun,California Institute of Technology,1
J. Ma; Y. Zhang; H. Bin; K. Wang; J. Liu; H. Gao,University of Chicago,1
J. Maiyuran; A. Bajwa; A. Bell; E. Hemberg; U. -M. O’Reilly,Yale University,1
J. Minaya; P. Marini; G. Alfaro; J. Tanta; F. Socualaya; R. Temoche; J. Diaz,California Institute of Technology,1
J. Moon; Y. Kim; S. B. Kim,Yale University,1
J. Moreno-LeÓn; G. Robles; M. RomÁn-GonzÁlez,University of Tokyo,1
J. Moreno-León; C. Chushig; G. Robles,University of Sydney,1
J. Moreno-León; G. Robles,MIT,1
J. Moreno-León; G. Robles,Peking University,1
J. Moreno-León; G. Robles; M. Román-González,Yale University,1
J. Moreno-León; M. Román-González; G. Robles,California Institute of Technology,1
J. Offutt; K. Baral,ETH Zurich,1
J. P. Rodríguez; L. A. Cecchi,National University of Singapore,1
J. Pietros; S. Sweetman; M. Shim,ETH Zurich,1
J. R. Fanfarelli,University of Cambridge,1
J. Shen,University of Hong Kong,1
J. Si; H. Feng; Z. Niu; Y. Bian; Y. Fu; H. Guo; Z. Su; W. Deng; X. Li,Tsinghua University,1
J. Wang; W. Zhang; X. Zeng; P. Li,University of Sydney,1
J. Yang,University of Melbourne,1
J. Ye; H. Hu; Z. Wang; R. Sheng,Stanford University,1
J. Ye; X. Lai; G. K. W. Wong,Yale University,1
J. Zhang,University of Cambridge,1
J. Zhang; Y. Zhang; Y. Lin,University of Chicago,1
J. Á. Ariza,Peking University,1
J. Á. Velázquez-Iturbied,MIT,1
"J\""{o}rg, Sophie and Leonard, Alison E. and Babu, Sabarish and Gundersen, Kara and Parmar, Dhaval and Boggs, Kevin and Daily, Shaundra Bryant",Imperial College London,1
"Jacob, Sharin Rawhiya and Parker, Miranda C. and Warschauer, Mark",Harvard University,1
"Jamieson, Alan C. and Jamieson, Lindsay H.",Princeton University,1
"Jeon, Inseong and Song, Ki-Sang",University of Hong Kong,1
"Jiang, Shan and Wong, Gary K.W.",University of Chicago,1
"Jimenez, Yerika and Hays, Theodore and Gardner-McCune, Christina",University of Oxford,1
Jingye Qu,Princeton University,1
"Jordan, Michael I.",Harvard University,1
"Jordan, Michael I.",Tsinghua University,1
"Jordan-Douglass, Anna and Kumar, Vishesh and Woods, Peter J.",Peking University,1
"Jormanainen, Ilkka and Tukiainen, Markku",Tsinghua University,1
"Jos\'{e} Garc\'{\i}a-Pe\~{n}alvo, Francisco and Conde, Miguel \'{A}ngel and Gon\c{c}alves, Jos\'{e} and Lima, Jos\'{e}",Stanford University,1
"Joseph Agbo, Friday and Sunday Oyelere, Solomon and Suhonen, Jarkko and Tukiainen, Markku",University of Melbourne,1
K. -C. Yeh; Y. Xie; F. Ke,MIT,1
K. -H. Yang; H. -Y. Lin,University of Cambridge,1
K. Adam; R. Lightfoot; M. Chowdhury; J. Phillip Donaldson,Princeton University,1
K. Arraki; K. Blair; T. Bürgert; J. Greenling; J. Haebe; G. Lee; A. Peel; V. Szczepanski; E. Pontelli; S. Hug,University of Sydney,1
K. Cui,Stanford University,1
K. Daungcharone,Columbia University,1
K. Falkner; R. Vivian; N. Falkner,Yale University,1
K. G. Herbert-Berger; S. Hagiwara; E. M. Rogacki; T. J. Marlowe,Princeton University,1
K. H. Koh; A. Basawapatna; H. Nickerson; A. Repenning,MIT,1
K. H. Koh; A. Basawapatna; V. Bennett; A. Repenning,National University of Singapore,1
K. Heljakka; P. Ihamäki; P. Tuomi; P. Saarikoski,ETH Zurich,1
K. Hinsen,ETH Zurich,1
K. Howland,Peking University,1
K. Howland; J. Good; K. Nicholson,Imperial College London,1
K. Ito,Harvard University,1
K. Jäckel; M. Garai-Fodor,University of Toronto,1
K. Kalovrektis; I. Dimos; A. Xanakis; A. Kakarountas,Princeton University,1
K. Klinbumrung; K. Surpare; P. Sukmak,ETH Zurich,1
K. McMaster; B. Rague; N. Anderson,Harvard University,1
K. Mensing; J. Mak; M. Bird; J. Billings,Harvard University,1
K. Miková; Z. Kubincová,California Institute of Technology,1
K. S. Borges; C. S. de Menezes; L. da Cruz Fagundes,California Institute of Technology,1
K. S. Oskooyee; M. M. R. Kashani; A. Harounabadi,MIT,1
K. Surpare; C. Seetao,University of Sydney,1
K. T. Fernandes; E. H. da Silva Aranha; M. J. N. R. Lucena; G. L. de Souza Fernandes,Princeton University,1
K. Tavares Fernandes; M. Lucena; E. Aranha,MIT,1
K. Tengler; O. Kastner-Hauler; B. Sabitzer,ETH Zurich,1
K. Tengler; O. Kastner-Hauler; B. Sabitzer,University of Oxford,1
K. V. Lehmkuhl-Dakhwe,University of Hong Kong,1
K. W. Hipel,University of Chicago,1
K. Wachira; H. O. Absaloms,National University of Singapore,1
K. Yevseyeva; M. Towhidnejad,California Institute of Technology,1
K. Z. Turdievna; K. M. Abdijabborovna; A. R. Kadirjanovich,Imperial College London,1
"Kafai, Yasmin B.",University of Chicago,1
"Kafura, Dennis and Bart, Austin Cory and Chowdhury, Bushra",Imperial College London,1
"Kafura, Dennis and Bart, Austin Cory and Chowdhury, Bushra",University of Tokyo,1
"Kalliopi, Kanaki and Michail, Kalogiannakis",University of Chicago,1
Kan Y.; Wan B.; Chen Y.; Qiu X.; Qiao Z.; Zhou J.; Hu X.; Ke S.; Qiao K.; Liu X.; Bu T.; Zhang W.; Yang Y.,University of Chicago,1
"Kastelein, Kate and Dawson, Kelsie and Tate, Rhonda",MIT,1
Kebriaei A.; Besharati R.; Namdar Ahmad Abad H.; Havakhah S.; Khosrojerdi M.; Azimian A.,National University of Singapore,1
"Killen, Heather and Coenraad, Merijke and Byrne, Virginia and Cabrera, Lautaro and Mills, Kelly and Ketelhut, Diane Jass and Plane, Jandelyn D.",Peking University,1
Kim D.Y.; Miranda-Romo D.; Ten Cate A.R.; Hellberg R.S.,University of Hong Kong,1
"Kim, Han Sung and Kim, Soohwan and Na, Wooyoul and Lee, Woon Jee",MIT,1
"Kirkpatrick, Keith",ETH Zurich,1
"Klopfenstein, Lorenz Cuno and Delpriori, Saverio and Maldini, Riccardo and Bogliolo, Alessandro",University of Melbourne,1
"Koh, Kyu Han and Nickerson, Hilarie and Basawapatna, Ashok and Repenning, Alexander",Princeton University,1
Kong W.; Pei Z.; Guo Z.; Xu R.; Zhao J.,University of Chicago,1
"Kong, Siu-Cheung and Lao, Andrew Chan-Chio",Imperial College London,1
"Koning, Josina I. and Faber, Hylke H. and Wierdsma, Menno D. M.",Tsinghua University,1
"Kules, Bill",University of Chicago,1
"Kunz, Katrin and Moeller, Korbinian and Ninaus, Manuel and Trautwein, Ulrich and Tsarava, Katerina",University of Toronto,1
"Kutay, Emine and Oner, Diler",Stanford University,1
Käll A.; Bäck M.; Fahlroth O.; Ekeflod E.; Lundberg A.; Viberg N.; Andersson G.,ETH Zurich,1
L. -j. Yin; R. -x. Zuo; Y. Zhao,Imperial College London,1
L. A. Beatriz; A. Alejandro; F. Alejandro; H. Jimena,MIT,1
L. A. Perine; R. K. Gnanasekaran; P. Nicholas; A. Hill; R. Marciano,Yale University,1
L. Alvarado; C. Falcon; J. Gutiééérrez-Cááárdenas; V. S. Romero-Romero,University of Oxford,1
L. Bin,Yale University,1
L. Chaoan,Peking University,1
L. Chen; J. Xia; J. Tao,University of Toronto,1
L. D. Miller; L. -K. Soh; V. Chiriacescu; E. Ingraham; D. F. Shell; S. Ramsay; M. P. Hazley,University of Chicago,1
L. Echeverría; R. Cobos; M. Morales,University of Tokyo,1
L. Echeverría; R. Cobos; M. Morales; F. Moreno; V. Negrete,MIT,1
L. Honglin; N. Yifan,University of Tokyo,1
L. Horvath; I. J. Rudas,University of Cambridge,1
L. Horváth; G. Szabó; I. J. Rudas,University of Chicago,1
L. Horváth; I. J. Rudas,Tsinghua University,1
L. Horváth; I. J. Rudas,University of Sydney,1
L. Horváth; I. J. Rudas; G. Hancke,National University of Singapore,1
L. Jeranoski; P. Leitão,Yale University,1
L. Kralj,Yale University,1
L. Laura-Ochoa; N. Bedregal-Alpaca,University of Melbourne,1
L. Li; S. Liu; K. Zhang,Harvard University,1
L. Li; Y. Zheng; F. Zheng; S. Zhong,Yale University,1
L. Liao; J. Liang,University of Oxford,1
L. M. Cruz Castro; A. J. Magana; K. A. Douglas; M. Boutin,Imperial College London,1
L. M. de Souza; B. M. Ferreira; I. M. Félix; L. de Oliveira Brandão; A. A. F. Brandão; P. A. Pereira,Stanford University,1
L. Ma; J. Hu; Y. Chen; X. Liu; W. Li,Stanford University,1
L. Malva; D. Hooshyar; Y. Yang; M. Pedaste,University of Tokyo,1
L. Orozco-Garcia; C. Gonzalez; J. Montano; C. Mondragon; H. Tobar-Munoz,Yale University,1
L. Perlovsky,Yale University,1
L. Quezada; M. Maldonado,University of Chicago,1
L. R. Varshney; F. Pinel; K. R. Varshney; D. Bhattacharjya; A. Schörgendorfer; Y. . -M. Chee,University of Hong Kong,1
L. Rakhmawati; A. I. Agung; M. Rohman,ETH Zurich,1
L. Ribeiro Silva; A. Pedro da Silva; A. Toda; S. Isotani,MIT,1
L. Ribeiro; D. J. Nunes; M. K. d. Cruz; E. d. S. Matos,Peking University,1
L. S. Riza; I. A. Aryani; Y. Wihardi; E. F. Rahman; Herbert; Haviluddin,University of Melbourne,1
L. Sun,University of Toronto,1
L. Suyi; Z. Leduo,University of Hong Kong,1
L. Wang; J. Zhou; X. Li,Princeton University,1
L. Xiaoqin; G. Baoling,Harvard University,1
L. Xu; M. -W. Tong; B. Li; J. Meng; C. -Y. Fan,University of Cambridge,1
L. Yingjie; W. Cuihua,Harvard University,1
L. Zeng; M. Zuo; X. Lu,University of Cambridge,1
L. Zou; H. Yang,Princeton University,1
"L\'{o}pez, Arturo Rojas and Garc\'{\i}a-Pe\~{n}alvo, Francisco J.",University of Toronto,1
Labidi A.; Aissa T.; Fliss O.; Bensegueni R.; Jebali S.; Zid M.F.; Latrous L.; Megriche A.,Peking University,1
"Labusch, Amelie",ETH Zurich,1
"Lai, Rina P. Y.",University of Cambridge,1
"Lai, Rina P.Y.",University of Cambridge,1
"Lall\'{e}, S\'{e}bastien and Yal\c{c}\i{}n, \""{O}zge Nilay and Conati, Cristina",Stanford University,1
"Lamprou, Anna and Repenning, Alexander",University of Hong Kong,1
"Lang, Catherine",University of Melbourne,1
Langer M.; Demetriou A.; Arvanitidis A.; Vanderveken S.; Hiemstra A.M.F.,Imperial College London,1
"LeBlanc, Mark D.",University of Cambridge,1
"Lee, Dongeun and Hu, Kaoning and El Ariss, Omar and Kwon, Kibum",Princeton University,1
"Lee, Irene and Martin, Fred and Apone, Katie",University of Toronto,1
"Lee, Irene and Martin, Fred and Denner, Jill and Coulter, Bob and Allan, Walter and Erickson, Jeri and Malyn-Smith, Joyce and Werner, Linda",University of Chicago,1
"Leela, Soralak and Chookeaw, Sasithorn and Nilsook, Prachyanun",MIT,1
"Lehtim\""{a}ki, Taina and Hamm, James and Mooney, Aidan and Casey, Kevin and Monahan, Rosemary and Naughton, Thomas J.",ETH Zurich,1
"Lehtim\""{a}ki, Taina and Monahan, Rosemary and Mooney, Aidan and Casey, Kevin and Naughton, Thomas J.",University of Cambridge,1
"Lehtim\""{a}ki, Taina and Monahan, Rosemary and Mooney, Aidan and Casey, Kevin and Naughton, Thomas J.",University of Hong Kong,1
"Lehtim\""{a}ki, Taina and Monahan, Rosemary and Mooney, Aidan and Casey, Kevin and Naughton, Thomas J.",University of Oxford,1
"Levitt, Diane and Garfus-Knowles, Dylana and Khuu, Wyman and Siddappa, Sara",Harvard University,1
"Li, Jiang and Shockey, Paulette and Cuddapah, Jennifer and Graybeal, Christy and Torres-Crespo, Marisel and Williams, Anthony",University of Melbourne,1
"Li, Wei-Lin and Hu, Chiu-Fan and Wu, Cheng-Chih",University of Toronto,1
"Li, Xin-Zhu and Chen, Chun-Ching and Kang, Xin",MIT,1
"Li, Xin-Zhu and Kang, Xin",University of Toronto,1
"Li, Xing and Xiang, Hui and Zhou, Xiaochun and Jing, Huang",National University of Singapore,1
"Li, Xing and Zhang, Yi and Huang, Jing",University of Cambridge,1
"Li, Xing and Zhao, MingYue and Ai, Di and Zhou, XiaoChun and Xiang, Hui",Columbia University,1
"Liao, Chen-Huei and Hsu, Hui-Ju and Wu, Pei-Chen",University of Oxford,1
"Lin, Lorraine and Parmar, Dhaval and Babu, Sabarish V. and Leonard, Alison E. and Daily, Shaundra B. and J\""{o}rg, Sophie",University of Tokyo,1
Lina Wang,University of Sydney,1
"Liu, Hui and Li, Zhen and Duan, Jia Ting and Zeng, Yu",Peking University,1
"Liu, Ruohan and Luo, Feiya and Israel, Maya",ETH Zurich,1
"Liu, Xiaoying and Cong, Longjie and Xu, Jihong",University of Hong Kong,1
"Liu, Yaqin and Ma, Zhiqiang and Qian, Yizhou",University of Hong Kong,1
"Liu, Yu-Yu and Iversen, Ole Sejer",Imperial College London,1
"Lodi, Michael",Stanford University,1
"Lonati, Violetta and Monga, Mattia and Malchiodi, Dario and Morpurgo, Anna",Stanford University,1
"Lowe, Tony and Brophy, Sean and Cardella, Monica",University of Melbourne,1
Lu H.; Zhang L.; Du H.; Guo X.; Liu H.,University of Cambridge,1
"Lu, James J. and Fletcher, George H.L.",ETH Zurich,1
"Lu, James J. and Fletcher, George H.L.",University of Cambridge,1
"Lunding, Mille Skovhus and Gr\o{}nb\ae{}k, Jens Emil Sloth and Bilstrup, Karl-Emil Kj\ae{}r and S\o{}rensen, Marie-Louise Stisen Kjerstein and Petersen, Marianne Graves",Yale University,1
"Luo, Feiya and Israel, Maya and Gane, Brian",Columbia University,1
"Luo, Feiya and Israel, Maya and Liu, Ruohan and Yan, Wei and Gane, Brian and Hampton, John",University of Tokyo,1
"Luo, Feiya and Yan, Wei and Liu, Ruohan and Israel, Maya",Harvard University,1
M. -h. Tai; B. P. Woolf; I. Arroyo,Columbia University,1
M. A. Breuer,Yale University,1
M. A. Rahimian; A. Jadbabaie; E. Mossel,National University of Singapore,1
M. Al-Shammaa; M. F. Abbod,Tsinghua University,1
M. Altaher; A. Ferchichi,ETH Zurich,1
M. Altaher; A. Ferchichi,Princeton University,1
M. Altaher; A. Ferchichi,University of Melbourne,1
M. Andrzejewska; A. Stolińska,University of Sydney,1
M. Asasian Kolur,MIT,1
M. Awatramani; D. Rover,ETH Zurich,1
M. C. Jackson,University of Cambridge,1
M. C. Jackson,University of Chicago,1
M. C. Utesch; N. D. Faizan; H. Krcmar; R. Heininger,Columbia University,1
M. Calabrese; V. Piuri; V. Di Lecce,Imperial College London,1
M. Coenraad; K. Mills; V. L. Byrne; D. J. Ketelhut,National University of Singapore,1
M. Csernoch; P. Biró; J. Máth,University of Oxford,1
M. Cutumisu; C. Adams; F. Glanfield; C. Yuen; C. Lu,University of Hong Kong,1
M. Cutumisu; Q. Guo,Columbia University,1
M. Daniels; A. Pears; A. Nylén,University of Hong Kong,1
M. Dickerson; A. E. Yun,Stanford University,1
M. Dumančić; N. Rogulja; K. Tomljenović,University of Chicago,1
M. E. Hadi; K. S. Nur Atiqoh; Kadir,ETH Zurich,1
M. El Maouch; Z. Jin,Princeton University,1
M. Elshahawy; M. Bakhaty; N. Sharaf,University of Toronto,1
M. Fan; K. Wu; J. Zhao; Y. Li; W. Wei; K. N. Truong,University of Melbourne,1
M. Fukui; Y. Sano; L. Xiang; E. T. Ong; W. N. Yanuarto; S. Anggoro; K. T. Ng,University of Toronto,1
M. Grasser; F. Mayer,University of Melbourne,1
M. H. Rana; V. A. Hameed,National University of Singapore,1
M. J. C. Guerrero; M. Alier Forment,University of Cambridge,1
M. J. Mohammadi-Aragh; Y. Sun; J. L. Dyer; J. G. Harris; C. A. Robinson; M. Bai; J. K. Kavanagh; K. E. Ball,Harvard University,1
M. J. Rico Lugo; X. B. Olabe; N. M. Niño,National University of Singapore,1
M. Johnson; H. Swanson; J. Edwards,Peking University,1
M. Kaleem; M. A. Hassan; S. K. Khurshid,University of Cambridge,1
M. L. Barron-Estrada; R. Zatarain-Cabada; B. A. Cardenas-Sainz,University of Melbourne,1
M. L. Lupetti; M. Van Mechelen,ETH Zurich,1
M. L. Radhakrishnan,MIT,1
M. L. Raia; A. G. Martins; G. P. A. Kas; M. A. Eliseo,Tsinghua University,1
M. Lee; Y. Zhang; S. Chen; E. Spencer; J. Dela Cruz; H. Hong; R. Marciano,Yale University,1
M. Lewis; A. Holloman; B. Y. Hernández Cuevas; C. Crawford,Stanford University,1
M. M. Rahman; M. H. Sharker; R. Paudel,Harvard University,1
M. Mandanici; S. Spagnol,University of Tokyo,1
M. Milrad,California Institute of Technology,1
M. Missiroli; D. Russo; P. Ciancarini,Stanford University,1
M. N. Vouvakis; J. Moshfegh,California Institute of Technology,1
M. Nojoumian; T. T. Tran,MIT,1
M. Pedaste; T. Palts; K. Kori; M. Sõrmus; Ä. Leijen,University of Melbourne,1
M. Philip; V. G. Renumol; R. Gopeekrishnan,Yale University,1
M. Pilichowski; W. Duch,Stanford University,1
M. Pogatsnik,University of Tokyo,1
M. Pogatsnik; É. Beke; R. B. Kendrovics,University of Chicago,1
M. Ragan; B. Marsh,California Institute of Technology,1
M. Roopaei; J. Horst,Columbia University,1
M. Rottenhofer; T. Rankin; B. Sabitzer,University of Cambridge,1
M. S. Geremias; T. C. Dutra; I. Gasparini; E. Maschio,National University of Singapore,1
M. S. Mirza; S. Datta,Columbia University,1
M. S. Peteranetz; A. E. Flanigan; D. F. Shell; L. -K. Soh,California Institute of Technology,1
M. S. Peteranetz; A. E. Flanigan; D. F. Shell; L. -K. Soh,Peking University,1
M. Siegel,California Institute of Technology,1
M. Spezialetti,California Institute of Technology,1
M. Stella; A. Kapuza; C. Cramer; S. Uzzo; V. Latora,University of Toronto,1
M. Talanov; J. Vallverdú; S. Distefano; M. Mazzara; R. Delhibabu,Columbia University,1
M. Tissenbaum; J. Sheldon; L. Seop; C. H. Lee; N. Lao,MIT,1
M. Towhidnejad; C. Kestler; S. Jafer; V. Nicholas,Imperial College London,1
M. U. Bers,Peking University,1
M. Vijayalakshmi; M. M. Raikar,University of Chicago,1
M. Wang,University of Oxford,1
M. Wu; J. Hao,University of Chicago,1
M. Xiao; X. Yu,Peking University,1
M. Zapata-C&#x00E1;ceres; E. Mart&#x00ED;n-Barroso; M. Rom&#x00E1;n-Gonz&#x00E1;lez,University of Chicago,1
M. Zapata-Cáceres; E. Martín-Barroso; M. Román-González,University of Hong Kong,1
M. Zhao; M. Zhao; X. -H. Wang; H. -L. Ma,Yale University,1
M. Zhao; W. Hu,Columbia University,1
Macalli M.; Castel L.; Jacqmin-Gadda H.; Galesne C.; Tournier M.; Galéra C.; Pereira E.; Tzourio C.,University of Tokyo,1
"Magda, David and Gardner-McCune, Christina and Jimenez, Yerika and Chu, Sharon and Kulkarni, Abhishek",University of Hong Kong,1
"Magdy, Amr and Dony, Coline",California Institute of Technology,1
